time,Tank2OutFlow,Tank2.puddle,Tank3OutFlow,Tank2.level,wt3_valve
597.65,0.50029989,38.55424161,0,0.602925405,1
597.7,0.500995175,38.55736312,0.82078554,0.585677756,0
597.75,0.500284637,38.55754381,0,0.602979293,1
597.8,0.498970632,38.56066535,0.820861543,0.585731988,0
597.85,0.499269097,38.56084605,0,0.602958988,1
597.9,0.500792888,38.56396703,0.820749025,0.5856517,0
597.95,0.500995177,38.56414769,0,0.602942506,1
598,0.499699975,38.56726861,0.820867308,0.585736101,0
598.05,0.498970634,38.56744927,0,0.602992193,0
598.1,0.49971523,38.56744927,0,0.632932863,0
598.15,0.50079289,38.56744927,0,0.65291899,0
598.2,0.500730771,38.56744927,0,0.682962971,0
598.25,0.499699977,38.56744927,0,0.702992409,0
598.3,0.499004692,38.56744927,0,0.732977843,0
598.35,0.499715231,38.56744927,0,0.752940349,0
598.4,0.501029237,38.56744927,0,0.782920894,0
598.45,0.500730772,38.56744927,0,0.802957684,0
598.5,0.499206982,38.56744927,0,0.833002525,0
598.55,0.499004694,38.56744927,0,0.852975883,0
598.6,0.500299896,38.56744927,0,0.882916839,0
598.65,0.501029238,38.56744927,0,0.902924518,0
598.7,0.500284643,38.56744927,0,0.932983841,0
598.75,0.499206984,38.56744927,0,0.952997709,0
598.8,0.499269103,38.56744927,0,0.98295372,0
598.85,0.500299898,38.56744927,0,1.002924277,0
598.9,0.500995183,38.56744927,0,1.032938835,0
598.95,0.500284644,38.56744927,0,1.052976325,0
599,0.49897064,38.56744927,0,1.082995772,0
599.05,0.499269105,38.56744927,0,1.102958977,0
599.1,0.500792896,38.56744927,0,1.132914129,0
599.15,0.500995184,38.56744927,0,1.152940765,0
599.2,0.499699983,38.56744927,0,1.182999802,0
599.25,0.498970641,38.56744927,0,1.202992119,0
599.3,0.499715237,38.56744927,0,1.232932788,0
599.35,0.500792897,38.56744927,0,1.252918916,0
599.4,0.500730778,38.56744927,0,1.282962897,0
599.45,0.499699984,38.56744927,0,1.302992336,0
599.5,0.499004699,38.56744927,0,1.332977771,0
599.55,0.499715238,38.56744927,0,1.352940276,0
599.6,0.501029244,38.56744927,0,1.382920822,0
599.65,0.500730779,38.56744927,0,1.402957612,0
599.7,0.499206989,38.56744927,0,1.433002453,0
599.75,0.499004701,38.56744927,0,1.452975812,0
599.8,0.500299903,38.56744927,0,1.482916769,0
599.85,0.501029245,38.56744927,0,1.502924447,0
599.9,0.50028465,38.56744927,0,1.532983771,0
599.95,0.49920699,38.56744927,0,1.552997639,0
600,0.49926911,38.56744927,0,1.582953651,0
600.05,0.500299905,38.56744927,0,1.602924208,0
600.1,0.50099519,38.56744927,0,1.632938766,0
600.15,0.500284651,38.56744927,0,1.652976256,0
600.2,0.498970647,38.56744927,0,1.682995704,0
