time,Tank2OutFlow,Tank2.puddle,Tank3OutFlow,Tank2.level,wt3_valve
883.2,0.499269165,47.00142749,2.074436629,1.480230011,1
883.25,0.500299959,47.00582898,1.988566269,1.418956563,1
883.3,0.500995244,47.01209443,1.868536812,1.333308633,1
883.35,0.500284705,47.01606122,1.793982359,1.280109736,1
883.4,0.4989707,47.02171891,1.689651866,1.205663921,1
883.45,0.499269165,47.02530798,1.624747813,1.159351141,1
883.5,0.500792955,47.0304371,1.533979438,1.094582677,1
883.55,0.500995244,47.03369772,1.477648657,1.054387421,1
883.6,0.499700041,47.0383679,1.398883085,0.998183648,1
883.65,0.4989707,47.04134345,1.349869938,0.963209945,1
883.7,0.499715295,47.0456146,1.281250132,0.914245762,1
883.75,0.500792955,47.04834201,1.238641556,0.883842089,1
883.8,0.500730835,47.05226633,1.179131247,0.841378056,1
883.85,0.499700041,47.05477845,1.142148595,0.814988804,1
883.9,0.499004756,47.05840163,1.090341121,0.778021187,1
883.95,0.499715295,47.06072644,1.058107553,0.75502068,1
884,0.5010293,47.06408746,1.013071535,0.722884887,1
884.05,0.500730835,47.06624947,0.985151804,0.702962551,1
884.1,0.499207045,47.06938312,0.946085722,0.675086652,1
884.15,0.499004756,47.07140383,0.921730909,0.65770809,1
884.2,0.500299959,47.07433948,0.88763995,0.633382227,1
884.25,0.5010293,47.07623704,0.866518431,0.618310807,1
884.3,0.500284705,47.07900078,0.837039496,0.597275889,1
884.35,0.499207045,47.08079171,0.818684633,0.584178638,1
884.4,0.499269165,47.08340609,0.792924177,0.565797068,1
884.45,0.500299959,47.08510398,0.776915331,0.554373835,1
884.5,0.500995244,47.08758825,0.754602553,0.538452382,1
884.55,0.500284705,47.08920546,0.740774107,0.528584989,1
884.6,0.4989707,47.09157707,0.721382277,0.514747802,1
884.65,0.499269165,47.09312418,0.709263338,0.506100241,1
884.7,0.500792955,47.09539739,0.692326541,0.494014861,1
884.75,0.500995244,47.09688334,0.681878377,0.486559495,1
884.8,0.499700041,47.0990714,0.667289727,0.476149653,1
884.85,0.4989707,47.10050454,0.658159314,0.469634577,1
884.9,0.499715295,47.10261838,0.645324275,0.460476037,1
884.95,0.500792955,47.1040052,0.637383128,0.454809572,1
885,0.500730835,47.10605447,0.626362837,0.446945959,1
885.05,0.499700041,47.10740138,0.619514297,0.442059131,1
885.1,0.499004756,47.10939481,0.609855998,0.435167378,1
885.15,0.499715295,47.11070682,0.603816025,0.43085751,1
885.2,0.5010293,47.11265125,0.595417505,0.424864682,1
885.25,0.500730835,47.11393292,0.590266138,0.421188886,1
885.3,0.499207045,47.11583523,0.583046617,0.416037342,1
885.35,0.499004756,47.11709072,0.578482842,0.412780825,1
885.4,0.500299959,47.11895602,0.572073998,0.408207746,1
885.45,0.5010293,47.1201884,0.568155524,0.405411689,1
885.5,0.500284705,47.12202172,0.562738826,0.401546563,1
885.55,0.499207045,47.12323441,0.559337435,0.399119474,1
885.6,0.499269165,47.12503998,0.554492695,0.395662473,1
885.65,0.500299959,47.12623519,0.551481915,0.393514109,1
885.7,0.500995244,47.12801633,0.547349789,0.390565599,1
885.75,0.500284705,47.12919655,0.544819705,0.388760238,1
885.8,0.4989707,47.13095689,0.541231118,0.386199575,1
885.85,0.499269165,47.13212408,0.538933099,0.384559806,1
885.9,0.500792955,47.13386585,0.535733019,0.382276364,1
885.95,0.500995244,47.13502149,0.533821535,0.38091241,1
886,0.499700041,47.1367475,0.531173306,0.379022746,1
886.05,0.4989707,47.13789345,0.529463265,0.377802533,1
886.1,0.499715295,47.13960555,0.527007246,0.376050023,1
886.15,0.500792955,47.14074266,0.52551614,0.374986033,1
886.2,0.500730835,47.1424426,0.523517647,0.373559993,1
886.25,0.499700041,47.14357238,0.522275701,0.372673793,1
886.3,0.499004756,47.14526203,0.520459457,0.371377798,1
886.35,0.499715295,47.14638522,0.519292927,0.370545412,1
886.4,0.5010293,47.14806547,0.517710987,0.369416607,1
886.45,0.500730835,47.14918292,0.516795783,0.368763556,1
886.5,0.499207045,47.15085547,0.515501466,0.367839986,1
886.55,0.499004756,47.15196813,0.514619908,0.367210943,1
886.6,0.500299959,47.15363358,0.513361453,0.366312963,1
886.65,0.5010293,47.15474172,0.512643686,0.365800796,1
886.7,0.500284705,47.15640119,0.511703882,0.365130191,1
886.75,0.499207045,47.1575058,0.511084656,0.364688338,1
886.8,0.499269165,47.15916011,0.510131384,0.364008123,1
886.85,0.500299959,47.16026128,0.509538957,0.363585392,1
886.9,0.500995244,47.16191081,0.508789427,0.36305056,1
886.95,0.500284705,47.16300919,0.508361457,0.362745178,1
887,0.4989707,47.16465499,0.507713139,0.362282566,1
887.05,0.499269165,47.16575095,0.507242349,0.36194663,1
887.1,0.500792955,47.16739302,0.506598049,0.361486885,1
887.15,0.500995244,47.16848666,0.506274855,0.361256268,1
887.2,0.499700041,47.17012586,0.505848199,0.360951824,1
887.25,0.4989707,47.17121783,0.505518753,0.360716745,1
887.3,0.499715295,47.17285433,0.504993801,0.360342162,1
887.35,0.500792955,47.17394442,0.504702755,0.360134484,1
887.4,0.500730835,47.17557851,0.504382811,0.359906185,1
887.45,0.499700041,47.17666731,0.504183998,0.359764321,1
887.5,0.499004756,47.17829958,0.503826805,0.359509443,1
887.55,0.499715295,47.17938707,0.503567003,0.359324059,1
887.6,0.5010293,47.1810173,0.50325332,0.359100229,1
887.65,0.500730835,47.18210362,0.503126274,0.359009574,1
